,song_sample,bird
0,melspectrogram_dataset/40e4eead-408f-48e0-bbff-ad1d96268739.tif,Abert's Towhee
1,melspectrogram_dataset/27d0f12a-e3f7-43b2-86b9-df59727364e3.tif,Abert's Towhee
2,melspectrogram_dataset/a9c88a38-b123-49dd-8a2a-d7c1c735bada.tif,Abert's Towhee
3,melspectrogram_dataset/87a393d7-58b8-410d-9f9c-bdd52b00dafd.tif,Abert's Towhee
4,melspectrogram_dataset/a5fcb13c-582d-4c4c-a9ce-487c321caab2.tif,Abert's Towhee
5,melspectrogram_dataset/ad8d4b7a-8b56-48ff-b831-b2a24ca0ac3b.tif,Abert's Towhee
6,melspectrogram_dataset/aad68ece-309a-4cf6-90ac-0b4a7751cb76.tif,Abert's Towhee
7,melspectrogram_dataset/b4408cf2-b0c6-4080-bd5a-47eef8b9dbcc.tif,Abert's Towhee
8,melspectrogram_dataset/851efb54-5d42-4fe0-93b5-2f3be51aa192.tif,Abert's Towhee
9,melspectrogram_dataset/b1cb1f54-9882-4b80-a138-e5e1b65a5cfb.tif,Abert's Towhee
10,melspectrogram_dataset/3b5d48da-0d6e-4104-bc69-7e74f8d8e84f.tif,Abert's Towhee
11,melspectrogram_dataset/12883adc-651b-4971-89bd-667faf3e2af6.tif,Abert's Towhee
12,melspectrogram_dataset/81935494-78af-4698-bae3-330774bfa104.tif,Abert's Towhee
13,melspectrogram_dataset/1dae1c91-b5b7-46eb-8f8e-f094b4daa60d.tif,Abert's Towhee
14,melspectrogram_dataset/432fafa4-e79d-405c-bc2e-ecc8f847b015.tif,Abert's Towhee
15,melspectrogram_dataset/c48768ae-1b06-4058-8619-1d2ddb9ca9ba.tif,Abert's Towhee
16,melspectrogram_dataset/a804f1f9-61da-4a50-aaf9-8ff9a372d255.tif,Abert's Towhee
17,melspectrogram_dataset/44466393-63f7-432a-9e85-bb4a5e03bb50.tif,Abert's Towhee
18,melspectrogram_dataset/dfd7b93d-7695-4151-93e7-4d24f60c43a0.tif,Abert's Towhee
19,melspectrogram_dataset/5b202865-6e22-4219-8dad-90ac1ccaf072.tif,Abert's Towhee
20,melspectrogram_dataset/e32a98b5-54ad-4cac-83fc-347c534001e9.tif,Abert's Towhee
21,melspectrogram_dataset/785c662e-a9d7-44b2-a071-2519c7c38f2b.tif,Abert's Towhee
22,melspectrogram_dataset/be8d952c-f26e-4807-bae1-0ae2a2b6d948.tif,Abert's Towhee
23,melspectrogram_dataset/65a6e241-0646-4f83-b658-f313c4e004fe.tif,Abert's Towhee
24,melspectrogram_dataset/65396fcd-2388-4479-9948-9b5c8913f411.tif,Abert's Towhee
25,melspectrogram_dataset/ab925897-96d5-49b9-9fe1-6f86bfdc5654.tif,Abert's Towhee
26,melspectrogram_dataset/fa0a100f-7ab3-4423-a110-43035fe70662.tif,Abert's Towhee
27,melspectrogram_dataset/a40c1270-dec1-418a-a7e5-e7530c544b83.tif,Abert's Towhee
28,melspectrogram_dataset/0952c352-3e27-4063-af78-683d25c66f8a.tif,Abert's Towhee
29,melspectrogram_dataset/f201dad4-3243-40d5-a351-176bacf1ce75.tif,Abert's Towhee
30,melspectrogram_dataset/1896e822-3405-4281-9f07-1226d96a6e08.tif,Abert's Towhee
31,melspectrogram_dataset/11ee18a4-9c77-4e16-aaeb-eb30702314c2.tif,Abert's Towhee
32,melspectrogram_dataset/5f62dad8-1ccf-42c0-9b71-ac30d2318b14.tif,Abert's Towhee
33,melspectrogram_dataset/d255683f-87bd-4778-bfb1-57ca805f4c15.tif,Abert's Towhee
34,melspectrogram_dataset/fbc291b8-4358-40c1-9833-f802369dcfff.tif,Abert's Towhee
35,melspectrogram_dataset/9bd38592-5e02-4425-9cb1-57ba4b20e9de.tif,Abert's Towhee
36,melspectrogram_dataset/4ce86828-cd11-4314-a756-ad48a3d6d48c.tif,Abert's Towhee
37,melspectrogram_dataset/31ebfb28-4f66-47c2-82df-f5b2111ec871.tif,Abert's Towhee
38,melspectrogram_dataset/47e57b08-87c0-49ed-a9c9-a26d0ff85d97.tif,Abert's Towhee
39,melspectrogram_dataset/42a446cb-9b22-4ed1-8285-2b091465008d.tif,Abert's Towhee
40,melspectrogram_dataset/c6691337-8628-45da-9eda-d956a2e9b514.tif,Abert's Towhee
41,melspectrogram_dataset/dbdff42e-a4a6-4392-a5ae-95a18de8de56.tif,Abert's Towhee
42,melspectrogram_dataset/c8a0f5e9-23cf-47d4-b24d-0b4216fd052b.tif,Abert's Towhee
43,melspectrogram_dataset/4e07ef73-9bfa-49a0-92f4-858a834402b5.tif,Abert's Towhee
44,melspectrogram_dataset/f8ab8206-b357-47ca-9e2a-bab87f87d436.tif,Abert's Towhee
45,melspectrogram_dataset/5b651dc7-12cb-4cfd-b3af-74d323818adb.tif,Abert's Towhee
46,melspectrogram_dataset/51955656-b6d4-49eb-8774-0dbf0c0febfa.tif,Abert's Towhee
47,melspectrogram_dataset/9fcb50b2-9b8b-4b63-af66-7e11f06d819b.tif,Abert's Towhee
48,melspectrogram_dataset/78340fed-e890-4e6b-8391-55411b9fa52b.tif,Abert's Towhee
49,melspectrogram_dataset/a798367c-cc4e-483f-8882-a6441d35c292.tif,Abert's Towhee
50,melspectrogram_dataset/23cc5495-3b8a-4d41-9525-745f419130e9.tif,Abert's Towhee
51,melspectrogram_dataset/6b5651dd-a7f2-4bea-8fe7-3cb7b486e91a.tif,Abert's Towhee
52,melspectrogram_dataset/51351d43-a83d-471e-88f2-a9c47ef278d5.tif,Abert's Towhee
53,melspectrogram_dataset/d6d5015a-f5f8-4213-b086-138f31011644.tif,Abert's Towhee
54,melspectrogram_dataset/cf14ec37-4d26-40dd-b681-8434f4ff0a87.tif,Abert's Towhee
55,melspectrogram_dataset/3d5b6d6c-cdd0-40cd-b950-4c5e96f8f77d.tif,Abert's Towhee
56,melspectrogram_dataset/fa4e3b6b-410f-468a-b568-be026deb3ec9.tif,Abert's Towhee
57,melspectrogram_dataset/bbd9ad3a-3658-4cbd-a89b-7078392ed3c8.tif,Abert's Towhee
58,melspectrogram_dataset/c4b7f7d8-4a86-432f-a4df-ae7c9bc16877.tif,Abert's Towhee
59,melspectrogram_dataset/1d0b9ccf-2eb8-49eb-abcc-4423b317065e.tif,Abert's Towhee
60,melspectrogram_dataset/3406aa7a-f063-42d6-94ce-c64ba57ba9b5.tif,Abert's Towhee
61,melspectrogram_dataset/e179d218-9aab-49c7-af4a-2469934394f8.tif,Abert's Towhee
62,melspectrogram_dataset/9b6e0397-6185-4703-aa45-f562e645e429.tif,Abert's Towhee
63,melspectrogram_dataset/fb9a5924-344c-4545-828d-fb1ca4548308.tif,Abert's Towhee
64,melspectrogram_dataset/3cffbd0c-89ca-4675-9707-031932a9f7bd.tif,Abert's Towhee
65,melspectrogram_dataset/08de3f26-7783-4602-8980-b50381618dd9.tif,Abert's Towhee
66,melspectrogram_dataset/69c923b0-c957-4082-a2fa-63b61296420a.tif,Abert's Towhee
67,melspectrogram_dataset/1ecac29d-9044-470a-b6ec-bed2f4f532e4.tif,Abert's Towhee
68,melspectrogram_dataset/cf94f75e-85d7-43a4-ad14-9862aa555334.tif,Abert's Towhee
69,melspectrogram_dataset/8c341c3e-b88b-427f-bb24-320056643141.tif,Abert's Towhee
70,melspectrogram_dataset/0ac84ace-23f2-4e7d-9779-f1b5dfe269f4.tif,Abert's Towhee
71,melspectrogram_dataset/3e6e9866-b11e-4f54-a980-2ac5654d297e.tif,Abert's Towhee
72,melspectrogram_dataset/6fee174c-1c1e-4b02-805f-40c9c7fa509a.tif,Abert's Towhee
73,melspectrogram_dataset/d25197ee-7ceb-4de6-a187-ebae80533235.tif,Abert's Towhee
74,melspectrogram_dataset/40f30377-6080-4743-8341-5b83a0424746.tif,Abert's Towhee
75,melspectrogram_dataset/4ccafc14-75a5-4b9e-848c-58292c361c04.tif,Abert's Towhee
76,melspectrogram_dataset/3492b5d2-8014-4d72-8dc2-a96781367a32.tif,Abert's Towhee
77,melspectrogram_dataset/1003cc91-be45-42a4-8492-0f7d94a3268a.tif,Abert's Towhee
78,melspectrogram_dataset/faac6d11-79d0-4f0b-a6ef-f3ccd436b3cb.tif,Abert's Towhee
79,melspectrogram_dataset/7204afb7-9316-4e82-9b91-6c40367b1003.tif,Abert's Towhee
80,melspectrogram_dataset/591278c2-891b-4115-9c62-05f31a35cd59.tif,Abert's Towhee
81,melspectrogram_dataset/6a9f7e33-0b5b-497d-9c35-7c2db32a5a8f.tif,Abert's Towhee
82,melspectrogram_dataset/6bca9365-22b6-4643-b1eb-112ccbeadd09.tif,Abert's Towhee
83,melspectrogram_dataset/22186299-cdd1-43be-885c-cf553f326d2f.tif,Abert's Towhee
84,melspectrogram_dataset/99fe71ad-e79f-435e-a96b-05484bc55a92.tif,Abert's Towhee
85,melspectrogram_dataset/2a67f0b6-6759-487a-b7f5-e3f50a6a9339.tif,Abert's Towhee
86,melspectrogram_dataset/745cb663-e18b-4f75-9a77-edb5902b8e2a.tif,Abert's Towhee
87,melspectrogram_dataset/401d724b-1c3b-4527-8884-c4235af9bc36.tif,Abert's Towhee
88,melspectrogram_dataset/21fd996f-71a9-4af3-a5a7-d80559f49b18.tif,Abert's Towhee
89,melspectrogram_dataset/84ec915b-4647-48f4-9afc-89eefae1b1ac.tif,Abert's Towhee
90,melspectrogram_dataset/9dc5b1c6-5628-464f-83f3-6b17e322fe85.tif,Abert's Towhee
91,melspectrogram_dataset/e7170dba-993c-4c42-90f2-b347d521f1a7.tif,Abert's Towhee
92,melspectrogram_dataset/a608210b-5912-468f-8c96-7b83be9eb790.tif,Abert's Towhee
93,melspectrogram_dataset/e1870563-b4a5-4f1c-a6c3-3c9c9cd1db89.tif,Abert's Towhee
94,melspectrogram_dataset/21348a4a-4572-4595-828c-c95153cbec5c.tif,Abert's Towhee
95,melspectrogram_dataset/e649ca11-2b6d-4480-b955-dc6497c3cee9.tif,Abert's Towhee
96,melspectrogram_dataset/48ada1d8-fb20-48a2-af65-5d98672cfc0e.tif,Abert's Towhee
97,melspectrogram_dataset/e22efd87-8dfc-419b-a4f7-174b747e6840.tif,Acorn Woodpecker
98,melspectrogram_dataset/b07a017c-cf56-41d9-811d-07add3c6a62c.tif,Acorn Woodpecker
99,melspectrogram_dataset/6100f281-8eb3-4b51-98a5-dd46e362b585.tif,Acorn Woodpecker
100,melspectrogram_dataset/bcdb6c8d-a4e0-4322-91f8-befc63854a97.tif,Acorn Woodpecker
101,melspectrogram_dataset/de09ba40-8a52-4b93-bccb-90f6c719603e.tif,Acorn Woodpecker
102,melspectrogram_dataset/365c5897-cac4-4629-a2f6-0908abe74949.tif,Acorn Woodpecker
103,melspectrogram_dataset/7f2473fc-f4a1-47ee-aacd-403b64443233.tif,Acorn Woodpecker
104,melspectrogram_dataset/daa29140-8eae-44cd-95bc-ca571ba35fd8.tif,Acorn Woodpecker
105,melspectrogram_dataset/4ddc2282-ff2a-408e-9fc6-db98bf0eeb47.tif,Acorn Woodpecker
106,melspectrogram_dataset/5031d230-d496-48ff-aa8b-1c6f4fc6569d.tif,Acorn Woodpecker
107,melspectrogram_dataset/c7a8a253-7c98-4691-a0b5-9f6b78b623bb.tif,Acorn Woodpecker
108,melspectrogram_dataset/431ec185-5c32-426a-8013-14cce0011680.tif,Acorn Woodpecker
109,melspectrogram_dataset/1e822f41-d1ce-4515-b7f1-18b6053e2af0.tif,Acorn Woodpecker
110,melspectrogram_dataset/7205a345-e5c0-4bbb-af7d-58dac5520002.tif,Acorn Woodpecker
111,melspectrogram_dataset/5bc523ec-a3ca-499b-ab80-4860d43add18.tif,Acorn Woodpecker
112,melspectrogram_dataset/e6dab095-6a9c-4b21-a59d-663755040e26.tif,Acorn Woodpecker
113,melspectrogram_dataset/a272ee0c-1df5-4100-ad39-c287babdc347.tif,Acorn Woodpecker
114,melspectrogram_dataset/6d49bb88-2cb9-4d3e-96d5-b442d83e5f08.tif,Acorn Woodpecker
115,melspectrogram_dataset/a4416f31-f4b2-4f59-9258-dea24ff19d7e.tif,Acorn Woodpecker
116,melspectrogram_dataset/2629e3de-8166-468c-b9b1-e111e88d248e.tif,Acorn Woodpecker
117,melspectrogram_dataset/10acef7e-9845-4ea3-93fa-6e00b9f2250e.tif,Acorn Woodpecker
118,melspectrogram_dataset/594f4dbc-74b2-4d54-86e3-52a166d1d454.tif,Acorn Woodpecker
119,melspectrogram_dataset/61e3e36d-64fc-416e-82c5-42f9200113e9.tif,Acorn Woodpecker
120,melspectrogram_dataset/63cdc356-af31-40f0-96a7-5131abf9593c.tif,Acorn Woodpecker
121,melspectrogram_dataset/22aa1404-7976-454b-9c38-bd1784be6232.tif,Acorn Woodpecker
122,melspectrogram_dataset/a829e635-b13c-4d1c-9b1c-f12079ef87ec.tif,Acorn Woodpecker
123,melspectrogram_dataset/0a8001f1-8ad8-43c8-923d-d8b1b897cc14.tif,Acorn Woodpecker
124,melspectrogram_dataset/abb9e2c4-9c21-4bb4-a63a-3b7262c1d3a3.tif,Acorn Woodpecker
125,melspectrogram_dataset/76ffe8da-6cfb-483a-941f-8a7d9f0fd8bf.tif,Acorn Woodpecker
126,melspectrogram_dataset/86488b69-2f27-4757-925d-e627220a9760.tif,Acorn Woodpecker
127,melspectrogram_dataset/2408e67a-2949-402e-8886-fc537603ad68.tif,Acorn Woodpecker
128,melspectrogram_dataset/ceef73aa-d821-456c-acf3-95eee37c6664.tif,Acorn Woodpecker
129,melspectrogram_dataset/d6ea5dc7-2a36-4690-b02c-e0be1e658b4b.tif,Acorn Woodpecker
130,melspectrogram_dataset/e06556fe-0e08-40bb-b974-24c5ddb955cf.tif,Acorn Woodpecker
